health	promotion

housing	start

photo	shoot

stock	issue

weapon	poisoning
growth	reversal
mood	reversal

asset	valuation
market	valuation

question	wording

page	layout

construction	engineer

disco	dancer

grain	elevator

infant	immunization
student	immunization
lawn	service

employee	sharing

price	discussion
merger	discussion
policy	discussion

risk	profile

media	research

batting	practice

cancer	diagnosis

ocean	view

keynote	speaker

ticket	pricing
portfolio	weighting

chimney	sweep
car	wash

water	purification
oil	strainer
water	treatment

design	engineer

virus	writer

music	writer

currency	translation

highschool	dropout

industry	leader
series	leader

league	lead

profit	tax
fuel	tax
alcohol	tax
cut	tax
ticket	tax
carbon	tax
transaction	tax
sulfur	tax
withholding	tax
gasoline	tax
employment	tax
export	tax
departure	tax
sales	tax
import	tax
income	tax
excise	tax
gas	tax
capital gains	tax
marriage	tax
car	tax
gift	tax
corporation	tax
death	tax
transfer	tax
cigarette	tax
energy	tax
wealth	tax
property	tax
payroll	tax
tobacco	tax
oil	tax
income	taxation

missile	interceptor
house	demolition
cell	destruction
bus	bombing
embassy	bombing

road	shutdown
government	shutdown
plant	shutdown

debt	forgiveness
debt	cancellation

plant	closing
base	closing

plant	closure
pit	closure

circuit	breaker

bolt	cutter

trading	halt

spending	rescission

carp	slaughter
dog	slaughter
turtle	slaughter

apartment	bombing
pipeline	explosion

flag	burning

arms	reduction
tax	reduction
price	reduction
budget	reduction
cost	reduction
debt	reduction
force	reduction
spending	reduction
rate	reduction
poverty	reduction
job	reduction
workforce	reduction
pollution	reduction
tariff	reduction
deficit	reduction
emission	reduction
staff	reduction
troop	reduction

price	cut
fare	cut
program	cut
medicare	cut
team	cut
capacity	cut
spending	cut
cost	cut
salary	cut
rate	cut
troop	cut
arms	cut
dividend	cut
benefit	cut
funding	cut
wage	cut
defense	cut
tariff	cut
staff	cut
production	cut
output	cut
budget	cut

cost	cutting
production	cutback
budget	cutback
staff	cutback

crime	fighter
government	opponent
abortion	opponent
crime	fighting

price	freeze
pay	freeze
hiring	freeze

contribution	limit

import	restriction
visa	restriction
investment	restriction
water	restriction
age	restriction
weight	restriction
export	restriction
abortion	restriction
height	restriction
travel	restriction
budget	restriction
treaty	restriction
credit	restriction
share	restriction

poverty	eradication

pain	killer

poverty	alleviation


pesticide	spraying
water	sprinkler
dart	thrower
rock	throwing
shuttle	launch
rocket	launch
missile	launch
product	launch
missile	launcher
grenade	launcher
baseball	pitcher

chemical	sprayer
ball	deflection
ray	deflection

leaf	blower

gas	emission
greenhouse	emission
carbon dioxide	emission
exhaust	emission
carbon	emission
radiation	leak
gas	leak
fuel	leak
hydrogen	leak
member	expulsion
refugee	expulsion

snow	shower

rocket	booster
coin	flip

wasteland	development

weapon	dismantlement

water	desalinization

army	reshuffle
kebab	cooker
turkey	baker
turkey	roaster
cheese	grater
ginger	grater
vegetable	grilling
food	grinder
infant	circumcision

glass	sculptor
ice	sculptor
sand	sculptor
wood	sculptor

inventory	adjustment
market	adjustment
claims	adjustment
capital	adjustment
policy	adjustment
benefit	adjustment
price	adjustment
valuation	adjustment
tax	adjustment
inflation	adjustment
accounting	adjustment

debt	refinancing

van	conversion


policy	reversal

government	reshuffle

market	change
price	change
staff	change
rate	change
zoning	change
temperature	change
lifestyle	change
policy	change
budget	change
job	change
career	change
charter	change
leadership	change
design	change
lineup	change
accounting	change
board	change
costume	change
time	change
lead	change
boundary	change
tax	change
portfolio	change
date	change
mood	change
equipment	change
ownership	change
climate	change
rule	change
dividend	change

concept	modification
refinery	modification
helicopter	modification

health care	revision

tummy	tuck

door	opener
garage	opener
eye	opener

cement	mixer
ticket	splitting
arm	twisting

oil	refiner
oil	refining

land	reclamation

health care	overhaul
penalty	overhaul
tax	overhaul

bank	reform
insurance	reform
currency	reform
law	reform
healthcare	reform
government	reform
medicare	reform
system	reform
wage	reform
labor	reform
finance	reform
enterprise	reform
market	reform
penalty	reform
taxation	reform
school	reform
price	reform
policy	reform
banking	reform
capital gains	reform
management	reform
tax	reform
campaign	reform
college sports	reform
real estate	reform
budget	reform
pension	reform
trade	reform

claims	adjuster

cocaine	possession
drug	possession
weapon	possession

copyright	holder
account	holder
card	holder
debenture	holder
franchise	holder
fund	holder
policy	holder
unit	holder
equity	holder
office	holder
license	holder
debt	holder
ticket	holder
trademark	holder
mortgage	holder

baseball	owner
store	owner
fund	owner
station	owner
yacht	owner
parlor	owner
business	owner
club	owner
copyright	owner
computer	owner
bookstore	owner
team	owner
hotel	owner
truck	owner
tavern	owner
majority	owner
league	owner
restaurant	owner
boat	owner
plant	owner
building	owner
dog	owner
land	owner
theater	owner
gallery	owner
factory	owner
dish	owner
car	owner
part	owner
company	owner
apartment	owner
bar	owner
nightclub	owner
racehorse	owner
taxi	owner
ship	owner
property	owner
franchise	owner
shop	owner
vehicle	owner
horse	owner

pain	reliever

division	winner
semifinal	winner
semifinal	loser
election	loss

soil	conservation
wildlife	conservation
youth	conservation
water	conservation
energy	conservation
art	conservation

book	conservationist
book	conservation


policy	shift
paradigm	shift

water	conservancy

labor	protection
property	protection
privacy	protection
environment	protection
job	protection
health	protection
wildlife	protection
investor	protection
consumer	protection
investment	protection
food	protection
relic	protection

resident	protection
offspring	protection
community	protection
family	protection
fan	protection
gun	protection
gunner	protection
homeowner	protection
immigration	protection
journalist	protection

business	insurer
portfolio	insurer
life	insurer
health	insurer

health	coverage

deposit	insurance
life	insurance
mortgage	insurance
portfolio	insurance

insurance	underwriter
exchange	underwriter

life	support
license	renewal
contract	extension
line	extension

screen	saver

pocket	protector

steel	consumption
water	consumption
food	consumption
electricity	consumption
meat	consumption
energy	consumption
oil	consumption
fuel	consumption
wine	consumption
drug	consumption
alcohol	consumption
copper	consumption
cigarette	consumption
gas	consumption
beer	consumption
silver	consumption

water	guzzler

turtle	eating
coffee	sipper

electricity	hog
tea	sipper

steroid	use
drug	use
cocaine	use
alcohol	use
heroin	use
tobacco	use
energy	use
electricity	use
water	use

wood	burning

substance	abuse
alcohol	abuse

water	usage

smoke	inhalation

cigarette	smoking

coffee	drinking

cocaine	ingestion

water	intake

target	shooting
bank	robbery
bank	robber

cigar	smoker
cigarette	smoker
chain	smoker

drug	abuser
food	eater
wine	drinker

heroin	user
water	user
energy	user
cocaine	user

draft	evaders
tax	evaders

tax	evasion
vaccine	boycott
election	boycott
tourism	boycott
bus	boycott

drug	prevention
fire	prevention
disaster	prevention
pollution	prevention
cancer	prevention
aids	prevention
conflict	prevention
crime	prevention
flood	prevention
disease	prevention
loss	prevention

trading	block
channel	blocker
beta	blocker
angiogenesis	inhibitor

law	breaking

life	endangerment

flag	desecration
window	breaking

auto	trashing

homeowner	insurance

child	abuser
child	molestation
child	abuse

trademark	infringement
copyright	infringement
patent	infringement

inventory	forgery

computer	hacker
brand	switcher
expense account	fudging

aid	recipient
grant	recipient
medicare	recipient
transplant	recipient

stair	climber
trail	blazer
tree	traversal
museum	visitor
spa	visitor
city	visitor
hospital	visit
office	visit
conference	attendee
college	attendance
church	attendance
class	attendance
distance	runner

brewery	tour
world	tour
studio	tour

soybean	trader
stock	trader
money	trader
takeover	trader
security	trader
index	trader
floor	trader
metals	trader
option	trader
gold	trader
commodity	trader
oil	trader
grain	trader
currency	trader
copper	trader
future	trader
options	trader
futures	trader
livestock	trader

derivative	trading
futures	trading
equity	trading
stock	trading
commodity	trading
securities	trading
program	trading
currency	trading
contract	trading
dollar	trading
portfolio	trading
option	trading

commodity	broker
energy	broker
future	broker
insurance	broker
investment	broker
media	broker
money	broker
mortgage	broker
oil	broker
peace	broker
securities	broker
security	broker
stock	broker
ticket	broker

land	swap
debt	swap
share	swap
currency	swap
equity	swap

